name,division,location,notice_date,start_day,end_day,release_date,rink
화성동탄(2) A104블록 신혼희망타운(공공분양) 추가입주자모집공고,국민,"경기도 화성시 신동,목동,산척동 일원 택지개발사업지구내 A104블록",2020-05-18,2020-05-28,2020-06-02,2020-06-08,
"시흥장현 A2,A10블록 10년공공임대리츠(예비)",국민,경기도 시흥시 장현장곡로 79 (장현동),2020-05-19,2020-05-29,2020-06-01,2020-06-02,
하남감일 한양수자인,민영,경기도 하남시 감일지구 B2BL,2020-05-21,2020-06-02,2020-06-04,2020-06-10,http://www.sujain-hn.co.kr/
무등산 한국아델리움 어반센트럴,민영,광주광역시 북구 동문대로266번길 27 (각화동),2020-05-18,2020-05-28,2020-06-01,2020-06-05,http://www.gakhwa-adelium.com
광주동림2단지,국민,"광주광역시 북구 북문대로242번길 50 (동림동, 푸른마을 주공1단지, 푸른마을 주공2단지)",2020-05-27,2020-06-04,2020-06-05,2020-07-06,
영주가흥1단지,국민,"경상북도 영주시 대학로 130 (가흥동, 가흥주공임대아파트)",2020-05-21,2020-06-04,2020-06-05,2020-08-04,
대전 둔곡지구 A3BL 우미린,민영,대전광역시 유성구 둔곡길 218 (둔곡동),2020-05-22,2020-06-01,2020-06-03,2020-06-09,https://lynn.co.kr
부평삼산 신원아침도시,민영,인천광역시 부평구 후정동로25번길 4 (삼산동),2020-05-29,2020-06-09,2020-06-11,2020-06-18,http://www.부평삼산신원아침도시.com
대구명곡2단지 50년공공임대,국민,대구광역시 달성군 화원읍 명천로 231 (명곡미래빌 2단지),2020-05-21,2020-06-04,2020-06-05,2020-08-04,
포천 모아엘가 리더스파크,민영,경기도 포천시 어룡동 21-4,2020-05-28,2020-06-09,2020-06-11,2020-06-17,http://포천모아엘가.kr
고양향동 A-4블록 행복주택 추가,국민,경기도 고양시 덕양구 항동동 49-2,2020-05-15,2020-05-25,2020-05-27,2020-09-03,
다사역 금호어울림 센트럴,민영,대구광역시 달성군 다사읍 매곡리 521-2번지 일원,2020-05-21,2020-06-01,2020-06-03,2020-06-09,https://dasakhapt.co.kr
속초디오션자이,민영,강원도 속초시 장안로4길 40 (동명동),2020-05-14,2020-05-26,2020-05-28,2020-06-04,http://sokcho-dmd-xi.com/
창원진해 비전시티 우방아이유쉘,민영,경상남도 창원시 진해구 남양동 20-2,2020-05-14,2020-05-20,2020-05-22,2020-05-27,http://visioncity.iusell.co.kr
동탄역 헤리엇,민영,경기도 화성시 동탄2택지개발지구 C-16블록,2020-05-15,2020-06-01,2020-06-03,2020-06-10,http://dongtan-heriot.com
남천 우성스마트시티뷰,민영,부산광역시 수영구 황령대로509번길 9 (남천동),2020-05-22,2020-06-01,2020-06-03,2020-06-09,http://namcheon.smartcityview.com/
대전구봉8-2,국민,"대전광역시 서구 관저로 84 (관저동, 구봉마을 8단지)",2020-05-19,2020-05-26,2020-05-27,2020-07-23,http://www.kohom.or.kr
목포연산주공1단지아파트,국민,"전라남도 목포시 원산중앙로 108 (연산동, 연산주공1단지2단지아파트)",2020-05-21,2020-05-28,2020-05-29,2020-07-23,
"안성공도 참아름아파트 2,5단지 국민임대 예비입주자 모집",국민,경기도 안성시 공도읍 공도5로 6 (경기도시공사참아름),2020-05-14,2020-05-22,2020-05-25,2020-10-23,
전주삼천6단지 50년공임 예비입주자 모집,국민,"전라북도 전주시 완산구 삼천천변1길 9 (삼천동1가, 삼천주공6단지)",2020-05-14,2020-05-28,2020-05-29,2020-07-14,http://www.kohom.or.kr/web/main/index.do
익산어양4단지 50년공임 예비입주자 모집,국민,"전라북도 익산시 부송1로 17 (어양동, 어양주공아파트)",2020-05-14,2020-05-26,2020-05-27,2020-06-29,
부여쌍북2단지 50년 공공임대주택 ,국민,충남 부여군 부여읍 성왕로 328번길 15,2020-05-21,2020-05-28,2020-05-29,2020-07-24,
대구용산자이,민영,대구광역시 달서구 용산동 208-1 번지 일원,2020-05-22,2020-06-02,2020-06-04,2020-06-10,http://daeguyongsan-xi.com
이트리니티 공도 센트럴파크,민영,경기도 안성시 공도읍 도화길 67-14,2020-05-15,2020-05-25,2020-05-27,2020-06-02,
두류 센트레빌 더시티,민영,대구광역시 달서구 달구벌대로344길 101-2 (두류동),2020-05-15,2020-05-26,2020-05-28,2020-06-03,https://duryu-centreville.co.kr/
문경 모전 코아루 노블36,민영,경상북도 문경시 당교3길 16 (모전동),2020-05-15,2020-05-26,2020-05-28,2020-06-04,https://www.모전코아루노블36.com
마산삼계2주공아파트,국민,경상남도 창원시 마산회원구 내서읍 삼계2길 24 (마산삼계2주공아파트),2020-05-11,2020-05-22,2020-05-25,2020-07-24,
나운 금호어울림 센트럴,민영,전라북도 군산시 나운동 831번지,2020-05-21,2020-06-02,2020-06-04,2020-06-10,https://naunkhapt.com/
보령명천2단지 50년공공임대주택 예비입주자 모집,국민,"충청남도 보령시 주공로 50 (명천동, 주공아파트)",2020-05-19,2020-05-27,2020-05-28,2020-07-21,
천안쌍용5-2단지 50년공공임대주택 예비입주자 모집,국민,"충청남도 천안시 서북구 봉서산샛길 64 (쌍용동, 쌍용마을뜨란채아파트)",2020-05-18,2020-05-28,2020-05-29,2020-07-23,
용인 명지대역 서희스타힐스,민영,경기도 용인시 처인구 역북동 233번지,2020-05-14,2020-05-27,2020-05-29,2020-06-04,http://www.ybstarhills.com
이안논현오션파크,민영,인천광역시 남동구 소래역로30번길 50 (논현동),2020-06-10,2020-06-23,2020-06-25,2020-07-01,http://www.iaannh-oceanpark.com/
